accession_number,technology,assembly,country
OP682180.1,Illumina,bwa v. 0.7.17,Spain: Canary Islands
OP682179.1,Illumina,bwa v. 0.7.17,Spain: Canary Islands
OP682178.1,Illumina,bwa v. 0.7.17,Spain: Canary Islands
MF177159.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177158.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177157.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177156.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177155.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177154.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177153.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177152.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177151.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177150.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177149.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177148.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177147.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177146.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177145.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177144.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177143.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177142.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177141.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177140.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177139.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177138.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177137.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177136.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177135.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
MF177134.1,454; Sanger dideoxy sequencing,SeqScape v. v2.5; GS Reference Mapper v.,Poland
KX459563.1,NA,NA,NA
KY797261.2,Illumina,BWA v. 0.7.15,NA
KY797260.2,Illumina,BWA v. 0.7.15,NA
KY797259.2,Illumina,BWA v. 0.7.15,NA
KY797258.2,Illumina,BWA v. 0.7.15,NA
KY797255.2,Illumina,BWA v. 0.7.15,NA
KY797249.1,Illumina,BWA v. 0.7.15,Lebanon
KY797248.1,Illumina,BWA v. 0.7.15,Lebanon
KY797247.1,Illumina,BWA v. 0.7.15,Lebanon
KY797246.1,Illumina,BWA v. 0.7.15,Lebanon
KY797245.1,Illumina,BWA v. 0.7.15,Lebanon
KY797244.1,Illumina,BWA v. 0.7.15,Lebanon
KY797243.1,Illumina,BWA v. 0.7.15,Lebanon
KY797242.1,Illumina,BWA v. 0.7.15,Lebanon
KY797241.1,Illumina,BWA v. 0.7.15,Lebanon
KY797240.1,Illumina,BWA v. 0.7.15,Lebanon
KY797239.1,Illumina,BWA v. 0.7.15,Lebanon
KY797238.1,Illumina,BWA v. 0.7.15,Lebanon
KY797237.1,Illumina,BWA v. 0.7.15,Lebanon
KY797236.1,Illumina,BWA v. 0.7.15,Lebanon
KY797235.1,Illumina,BWA v. 0.7.15,Lebanon
KY797234.1,Illumina,BWA v. 0.7.15,Lebanon
KY797233.1,Illumina,BWA v. 0.7.15,Lebanon
KY797232.1,Illumina,BWA v. 0.7.15,Lebanon
KY797231.1,Illumina,BWA v. 0.7.15,Lebanon
KY797230.1,Illumina,BWA v. 0.7.15,Lebanon
KY797229.1,Illumina,BWA v. 0.7.15,Lebanon
KY797228.1,Illumina,BWA v. 0.7.15,Lebanon
KY797227.1,Illumina,BWA v. 0.7.15,Lebanon
KY797226.1,Illumina,BWA v. 0.7.15,Lebanon
KY797225.1,Illumina,BWA v. 0.7.15,Lebanon
KY797224.1,Illumina,BWA v. 0.7.15,Lebanon
KY797223.1,Illumina,BWA v. 0.7.15,Lebanon
KY797222.1,Illumina,BWA v. 0.7.15,Lebanon
KY797221.1,Illumina,BWA v. 0.7.15,Lebanon
KY797220.1,Illumina,BWA v. 0.7.15,Lebanon
KY797219.1,Illumina,BWA v. 0.7.15,Lebanon
KY797218.1,Illumina,BWA v. 0.7.15,Lebanon
KY797217.1,Illumina,BWA v. 0.7.15,Lebanon
KY797216.1,Illumina,BWA v. 0.7.15,Lebanon
KY797215.1,Illumina,BWA v. 0.7.15,Lebanon
KY797214.1,Illumina,BWA v. 0.7.15,Lebanon
KY797213.1,Illumina,BWA v. 0.7.15,Lebanon
KY797212.1,Illumina,BWA v. 0.7.15,Lebanon
KY797211.1,Illumina,BWA v. 0.7.15,Lebanon
KY797210.1,Illumina,BWA v. 0.7.15,Lebanon
KY797209.1,Illumina,BWA v. 0.7.15,Lebanon
KY797208.1,Illumina,BWA v. 0.7.15,Lebanon
KY797207.1,Illumina,BWA v. 0.7.15,Lebanon
KY797206.1,Illumina,BWA v. 0.7.15,Lebanon
KY797205.1,Illumina,BWA v. 0.7.15,Lebanon
KY797204.1,Illumina,BWA v. 0.7.15,Lebanon
KY797203.1,Illumina,BWA v. 0.7.15,Lebanon
KY797202.1,Illumina,BWA v. 0.7.15,Lebanon
KY797201.1,Illumina,BWA v. 0.7.15,Lebanon
KY797200.1,Illumina,BWA v. 0.7.15,Lebanon
KY797199.1,Illumina,BWA v. 0.7.15,Lebanon
KY797198.1,Illumina,BWA v. 0.7.15,Lebanon
KY797197.1,Illumina,BWA v. 0.7.15,Lebanon
KY797196.1,Illumina,BWA v. 0.7.15,Lebanon
KY797195.1,Illumina,BWA v. 0.7.15,Lebanon
KY797194.1,Illumina,BWA v. 0.7.15,Lebanon
KY797193.1,Illumina,BWA v. 0.7.15,Lebanon
KY797192.1,Illumina,BWA v. 0.7.15,Lebanon
KY797191.1,Illumina,BWA v. 0.7.15,Lebanon
KY797190.1,Illumina,BWA v. 0.7.15,Lebanon
KY797189.1,Illumina,BWA v. 0.7.15,Lebanon
KY797188.1,Illumina,BWA v. 0.7.15,Lebanon
KY797187.1,Illumina,BWA v. 0.7.15,Lebanon
KY797186.1,Illumina,BWA v. 0.7.15,Lebanon
KY797185.1,Illumina,BWA v. 0.7.15,Lebanon
KY797184.1,Illumina,BWA v. 0.7.15,Lebanon
KY797183.1,Illumina,BWA v. 0.7.15,Lebanon
KY797182.1,Illumina,BWA v. 0.7.15,Lebanon
KY797181.1,Illumina,BWA v. 0.7.15,Lebanon
KY797180.1,Illumina,BWA v. 0.7.15,Lebanon
KY797178.1,Illumina,BWA v. 0.7.15,Lebanon
KY797177.1,Illumina,BWA v. 0.7.15,Lebanon
KY797176.1,Illumina,BWA v. 0.7.15,Lebanon
KY797175.1,Illumina,BWA v. 0.7.15,Lebanon
KY797174.1,Illumina,BWA v. 0.7.15,Lebanon
KY797173.1,Illumina,BWA v. 0.7.15,Lebanon
KY797172.1,Illumina,BWA v. 0.7.15,Lebanon
KY797171.1,Illumina,BWA v. 0.7.15,Lebanon
KY797170.1,Illumina,BWA v. 0.7.15,Lebanon
KY797169.1,Illumina,BWA v. 0.7.15,Lebanon
KY797168.1,Illumina,BWA v. 0.7.15,Lebanon
KY797167.1,Illumina,BWA v. 0.7.15,Lebanon
KY797166.1,Illumina,BWA v. 0.7.15,Lebanon
KY797165.1,Illumina,BWA v. 0.7.15,Lebanon
KY797164.1,Illumina,BWA v. 0.7.15,Lebanon
KY797163.1,Illumina,BWA v. 0.7.15,Lebanon
KM047235.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047234.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047233.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047232.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047231.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047230.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047229.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047228.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047227.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047226.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047225.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047224.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047223.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047222.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047221.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047220.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047219.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047218.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047217.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047216.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047215.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047214.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047213.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047212.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047211.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047210.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047209.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047208.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047207.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047206.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047205.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047204.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047203.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047202.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047201.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047200.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
KM047199.1,454; Sanger dideoxy sequencing,SeqScape v. 2.5; GS Reference Mapper v.,Poland
