motif,num_profiles,profiles
M7b1a2a1,37,KU131369.1 KU131365.1 KU131332.1 KU131321.1 KU131319.1 KC993937.1 KC993909.1 KC252573.1 KC252552.1 KC252479.1 KC252470.1 KC252433.1 KC252398.1 JX390633.1 AY289098.1 KF540958.1 KF540951.1 KF540849.1 KF540846.1 KF540823.1 KF540801.1 KF540791.1 KF540782.1 KF540759.1 KF540754.1 KF540753.1 KF540602.1 KF540583.1 KF540571.1 KF540565.1 KF540562.1 MZ387388.1 MZ387383.1 MZ387278.1 MK128889.1 MK128888.1 MK128887.1 
M7b1a2a1a,4,KU131364.1 KF540593.1 KF540557.1 KF540556.1 
M7b1a2a1b,1,KF540574.1 
M7b1a2a1b1,11,KU131363.1 KF540960.1 KF540955.1 KF540604.1 KF540597.1 KF540580.1 KF540579.1 KF540578.1 KF540576.1 KF540570.1 KF540567.1 
M7b1b,6,EF153817.1 EF153777.1 HM030531.1 MG660582.1 OL619866.1 KX675287.1 
M7b2,1,HM030527.1 
M7b2a,6,KX456704.1 KX456693.1 KP240744.1 JX987443.1 HM030506.1 OL505337.1 
M7c,1,JF271015.1 
M7c1,30,KU683578.1 KU683528.1 KU683521.1 KU683492.1 KU683483.1 KU683441.1 KU683348.1 KU683193.1 KU683018.1 KU131312.1 KP240766.1 KP240757.1 KP240737.1 KP240674.1 KP240664.1 KC252458.1 JX987449.1 OL697517.1 OL697461.1 OL505379.1 MT929268.1 MT929259.1 MT554225.1 MT454452.1 MF523121.1 MK069570.1 MK069562.1 MF043425.1 KY941904.1 KY798198.1 
M7c1a,29,KX457277.1 KX457176.1 KX457173.1 KX457172.1 KX457170.1 KX457169.1 KX457168.1 KX457156.1 KX456990.1 KX456950.1 KX456479.1 KX456477.1 MH553845.1 KU131386.1 KU131384.1 KU131382.1 MH449479.1 MH449117.1 MH449116.1 KC252473.1 KC251757.1 HQ157976.1 HM030523.1 OL880052.1 MG272779.1 MG272770.1 MG272767.1 MN628110.1 MG272587.1 
M7c1a1,0,
M7c1a1a,6,MH553922.1 KP240781.1 KF849978.1 OL697650.1 OL505356.1 MT954932.1 
M7c1a1a1,4,EU007890.1 JQ705375.1 HM036561.1 ON127785.1 
M7c1a1b,6,MH553765.1 MH553699.1 KP240901.1 KP240809.1 KC252553.1 HM852807.1 
M7c1a1b1,3,KF148441.1 KF148418.1 KF148264.1 
M7c1a2,1,HM030547.1 
M7c1a2a,5,KJ446581.1 KJ446580.1 KF451785.1 KF451779.1 EU597541.1 
M7c1a2a1,5,KU683330.1 KU683117.1 KP240907.1 EF153823.1 AP010827.1 
M7c1a3,24,MH553675.1 KP240836.1 KP240750.1 KP240732.1 KC252462.1 KC251750.1 JX987458.1 HM030514.1 KF540750.1 KF540710.1 OQ731951.1 KF540667.1 ON127784.1 ON127735.1 OL697571.1 OL505393.1 OL505359.1 OL505357.1 OL505350.1 OL505335.1 OL505325.1 OL505323.1 MT954926.1 MN628144.1 
M7c1a3a,4,KF849922.1 AP008886.1 MZ387377.1 AP008647.1 
M7c1a4,0,
M7c1a4a,13,KU682987.1 KU682972.1 KU682954.1 KU682948.1 KP240758.1 KP240755.1 KP240673.1 KC252456.1 KF849961.1 OL741889.1 OL505373.1 OL505348.1 KF383999.1 
M7c1a4b,8,KC251746.1 JX987446.1 KF541053.1 KF541052.1 KF541048.1 KF541015.1 KF541008.1 OL505367.1 
M7c1a5,7,KU131317.1 KP240864.1 KP240686.1 EF397561.1 AP008755.1 OL741982.1 MN628049.1 
M7c1b,8,MH553787.1 KJ446579.1 AY255158.1 ON983532.1 OL879964.1 OL879938.1 OL742040.1 KF451294.1 
M7c1b1,3,KP240881.1 EF153790.1 EF153782.1 
M7c1b2,1,ON983450.1 
M7c1b2a,3,MH553898.1 EF153818.1 MW698493.2 
M7c1b2b,25,KX457350.1 KX457068.1 KX228173.1 KX228172.1 KX228171.1 KU683145.1 KU682953.1 KU131342.1 KT587446.1 KP240782.1 KP240676.1 KP240675.1 KC252483.1 JX987455.1 JX987444.1 AP012419.1 ON983443.1 OL697662.1 OL505351.1 MW698581.2 MT954927.1 MT419220.1 KF384031.1 MH894758.1 KX457633.1 
M7c1c,8,MH553852.1 KC252371.1 JQ702664.1 KF540721.1 OL741995.1 FJ748715.1 MT454445.1 KC993973.1 
M7c1c1,13,KU131361.1 KU131359.1 KU131358.1 KU131356.1 KC252559.1 KC252455.1 KC252439.1 KF540609.1 KF540606.1 KF540555.1 KF540553.1 KF540546.1 KF540518.1 
M7c1c1a,2,KF540700.1 KF540664.1 
M7c1c1a1,12,KC994071.1 KC994065.1 KC252461.1 KC252431.1 KC252406.1 KC252379.1 KC252351.1 KC252349.1 KF540863.1 HM238203.1 KF540687.1 KC994079.1 
M7c1c2,52,KX456869.1 KX456654.1 KX456608.1 KX456492.1 KX456471.1 MH553793.1 MH553774.1 KU131389.1 KU131387.1 KU131354.1 MH553678.1 KT587554.1 KT587382.1 KP240856.1 KP240827.1 KP240761.1 KP240760.1 KP240722.1 MH449496.1 KJ446583.1 MH449300.1 MH449238.1 MH449144.1 MH449101.1 KC252397.1 KC251749.1 JX987464.1 JX987460.1 JX987451.1 JX987445.1 JX987440.1 AY255146.1 JF824954.2 JF824861.2 KF540736.1 ON983538.1 OL880023.1 OL880004.1 OL879912.1 OL742024.1 OL741867.1 OL697579.1 KF451767.1 OL697495.1 OL697468.1 MG273093.1 MG273066.1 MZ387267.1 MT454377.1 MT454357.1 MG272598.1 KX457500.1 
M7c1c2a,7,DQ272117.1 KP240796.1 MH449176.1 MH449168.1 MH449152.1 JX987468.1 KF540793.1 
M7c1c3,435,KU131368.1 KU131367.1 KU131366.1 KU131360.1 KU131353.1 KU131351.1 KU131350.1 KU131349.1 KU131348.1 KU131347.1 KU131344.1 KU131340.1 KU131337.1 KU131336.1 KU131335.1 KU131334.1 KU131333.1 KU131331.1 KU131322.1 KU131313.1 KU131309.1 KU131308.1 KT587460.1 KR074250.1 KR074246.1 KC994044.1 KC994041.1 KC994034.1 KC994032.1 KM101916.1 KM101633.1 KJ446582.1 KC994025.1 KC994002.1 KJ154941.1 KC993930.1 KC993919.1 KJ154775.1 KC252531.1 KC252509.1 KC252501.1 KC252491.1 KC252468.1 KC252463.1 KC252427.1 KJ154757.1 KJ154755.1 KJ154752.1 KJ154751.1 KJ154750.1 KC252350.1 KC252348.1 KC252345.1 KC252344.1 JX987465.1 JX987461.1 JX987452.1 JX987441.1 JQ705619.1 KJ154325.1 JQ703812.1 DQ372876.1 DQ372868.1 AF382012.1 KC993998.1 KC993995.1 KC993987.1 KC993985.1 KC993983.1 KC993981.1 KC993977.1 KF540912.1 KF540907.1 KF540892.1 KF540879.1 KF540877.1 KF540858.1 HM596714.1 HM596685.1 HM596678.1 HM596674.1 HM596673.1 HM596669.1 HM596668.1 HM596664.1 HM596663.1 HM596662.1 HM596650.1 HM596649.1 KF540828.1 KF540790.1 GU733799.1 GU733788.1 GU733777.1 GU733772.1 GU733771.1 GU733767.1 GU733766.1 KF540781.1 KF540776.1 KF540772.1 KF540762.1 KF540760.1 GU733736.1 KF540631.1 KF540537.1 GQ119023.1 GQ119018.1 KF451487.1 MZ387411.1 MZ387337.1 MZ387291.1 MZ387283.1 MZ387275.1 MZ386674.1 MT902330.1 MT902206.1 MG272581.1 MG272579.1 MN482525.1 MN482518.1 MK128879.1 MK128878.1 MK128875.1 MF058585.1 MF058576.1 MF058573.1 MF058563.1 MF058527.1 MF058524.1 MF058508.1 MF058493.1 MF058468.1 MF058465.1 MF058464.1 MF058450.1 MF058448.1 MF058443.1 MF058442.1 MF058418.1 MF058402.1 MF058379.1 MF058372.1 MF058370.1 MF058369.1 MF058347.1 MF058343.1 MF058323.1 MF058317.1 MF058298.1 MF058291.1 MF058274.1 MF058273.1 MF058247.1 MF058231.1 MF058229.1 MF058228.1 MF058226.1 MF058220.1 MF058215.1 MF058192.1 MF058175.1 MF058164.1 MF058150.1 MF058139.1 MF058134.1 MF058133.1 MF058132.1 MF058131.1 MF058128.1 MF058111.1 MF058065.1 MF058056.1 MF058045.1 MF058042.1 MF058028.1 MF058020.1 MF058011.1 MF058007.1 MF058006.1 MF058005.1 MF058003.1 MF057992.1 MF057991.1 MF057989.1 MF057988.1 MF057982.1 MF057954.1 MF057952.1 MF057941.1 MF057939.1 MF057932.1 MF057924.1 MF057923.1 MF057919.1 MF057904.1 MF057871.1 MF057866.1 MF057846.1 MF057835.1 MF057795.1 MF057792.1 MF057758.1 MF057752.1 MF057749.1 MF057739.1 MF057727.1 MF057717.1 MF057710.1 MF057705.1 MF057703.1 MF057699.1 MF057697.1 MF057689.1 MF057677.1 MF057649.1 MF057642.1 MF057634.1 MF057626.1 MF057621.1 MF057615.1 MF057596.1 MF057582.1 MF057575.1 MF057571.1 MF057569.1 MF057568.1 MF057565.1 MF057539.1 MF057537.1 MF057530.1 MF057510.1 MF057506.1 MF057505.1 MF057488.1 MF057486.1 MF057479.1 MF057471.1 MF057467.1 MF057466.1 MF057463.1 MF057458.1 MF057447.1 MF057442.1 MF057438.1 MF057417.1 MF057394.1 MF057392.1 MF057368.1 MF057361.1 MF057359.1 MF057355.1 MF057344.1 MF057343.1 MF057341.1 MF057321.1 MF057301.1 MF057297.1 MF057290.1 MF057285.1 MF057283.1 MF057281.1 MF057273.1 MF057271.1 MF057259.1 MF057236.1 MF057231.1 MF057221.1 MF057219.1 MF057170.1 MF057146.1 MF057145.1 MF057116.1 MF057112.1 MF057091.1 MF057081.1 MF057079.1 MF057062.1 MF057047.1 MF057038.1 MF057023.1 MF057017.1 MF057016.1 MF056999.1 MF056997.1 MF056990.1 MF056985.1 MF056984.1 MF056982.1 MF056977.1 MF056975.1 MF056968.1 MF056957.1 MF056954.1 MF056952.1 MF056947.1 MF056934.1 MF056930.1 MF056924.1 MF056922.1 MF056911.1 MF056910.1 MF056909.1 MF056908.1 MF056902.1 MF056898.1 MF056890.1 MF056871.1 MF056856.1 MF056851.1 MF056813.1 MF056790.1 MF056788.1 MF056784.1 MF056774.1 MF056754.1 MF056752.1 MF056726.1 MF056719.1 MF056718.1 MF056716.1 MF056714.1 MF056713.1 MF056705.1 MF056690.1 MF056685.1 MF056676.1 MF056668.1 MF056664.1 MF056636.1 MF056634.1 MF056628.1 MF056623.1 MF056592.1 MF056584.1 MF056579.1 MF056578.1 MF056577.1 MF056576.1 MF056550.1 MF056547.1 MF056508.1 MF056482.1 MF056481.1 MF056479.1 MF056477.1 MF056475.1 MF056468.1 MF056454.1 MF056443.1 MF056442.1 MF056391.1 MF056385.1 MF056374.1 MF056352.1 MF056332.1 MF056331.1 MF056329.1 MF056323.1 MF056295.1 MF056283.1 MF056279.1 MF056262.1 MF056253.1 MF056234.1 MF056233.1 MF056229.1 MF056227.1 MF056220.1 MF056218.1 MF056207.1 MF056198.1 MF056193.1 MF056186.1 MF056185.1 MF056184.1 MF056180.1 MF056168.1 MF056162.1 MF056156.1 MF056152.1 MF056149.1 MF056146.1 MF056117.1 MF056114.1 MF056113.1 MF056112.1 MF056093.1 MF056090.1 MF056086.1 MF056085.1 MF056084.1 MF056069.1 MF056060.1 MF056054.1 MF056037.1 MF056036.1 MF056022.1 MF056007.1 MF056003.1 MF056000.1 MF055992.1 MF055987.1 MF055984.1 MF055968.1 MF055964.1 MF055955.1 MF055938.1 MF055935.1 MF055930.1 MF055926.1 MF055924.1 MF055920.1 MF055916.1 MF055909.1 MF055903.1 MF055894.1 MF055884.1 MF055883.1 MF055881.1 MF055878.1 MF055873.1 MF055854.1 MF055835.1 MF055834.1 MF055820.1 MF055802.1 MF055797.1 MF055782.1 MF055779.1 MF055777.1 MF055774.1 MF055773.1 MF055770.1 KC993974.1 
M7c1c3a,2,GU733792.1 MZ387282.1 
M7c1c3a1,4,KU131362.1 JX987467.1 JX987466.1 MZ387331.1 
M7c1c3b,8,KU131341.1 KU131338.1 KU131318.1 JX987453.1 HM596659.1 MZ387276.1 MK128877.1 MK128876.1 
M7c1c3c,1,JX987462.1 
M7c1c3d,3,JQ703844.1 GU733804.1 GU733735.1 
M7c1c3e,3,KU131310.1 AP012363.1 AP012360.1 
M7c1c3f,4,KC994116.1 KC994103.1 KC994090.1 KC994089.1 
M7c1c3g,4,KC994012.1 KC994102.1 KC994100.1 KC994098.1 
M7c1c3h,8,KC994013.1 KC994008.1 KC994113.1 KC994110.1 KC994106.1 KC994099.1 KC994096.1 KC994088.1 
M7c1c3i,12,KC994052.1 KC994051.1 KC994038.1 KC994033.1 KC994026.1 KC994006.1 OQ731982.1 KC994142.1 KC994133.1 KC994126.1 KC994122.1 KC994121.1 
M7c2,5,KX457392.1 KX457378.1 KC252471.1 HQ157984.1 KF540809.1 
M7c2a,16,KX456946.1 KX456937.1 KX456883.1 KU131388.1 MH449493.1 JX987470.1 MH448963.1 MH448960.1 JF824959.2 JF824866.2 HQ157980.1 HM030509.1 MG272745.1 MG272626.1 KX457628.1 KX457627.1 
M7c2b,4,EF153810.1 KF540705.1 MG273011.1 MZ387352.1 
M7c3,8,KU131320.1 KP240817.1 KC252490.1 KC252378.1 HM030532.1 KF540545.1 KF540540.1 MZ387273.1 
M8,1,MK660272.1 
M8a,1,OL741887.1 
M8a1,8,KF148536.1 KF148520.1 KF148519.1 KF148510.1 MG660741.1 OL879955.1 MT454459.1 MH807364.1 
M8a1a,3,AP008823.1 AP008807.1 AP008705.1 
M8a2'3,1,AP013124.1 
M8a2,13,MH553915.1 KU682936.1 GU392083.1 GU392082.1 GU392081.1 KF540663.1 ON127835.1 ON127744.1 ON127720.1 OL879918.1 OL697587.1 OL697496.1 FJ198227.1 
M8a2+152,12,KU683183.1 KU682983.1 MH553670.1 MG660574.1 OL879950.1 OL879907.1 OL742053.1 OL742043.1 OL741945.1 OL697691.1 OL505392.1 AP008531.1 
M8a2a,1,OL697470.1 
M8a2a1,17,KX456620.1 KX456614.1 KX456517.1 MH553846.1 MH553781.1 MH553677.1 JQ411480.1 AP008803.1+ OP620822.1 OL879923.1 OL742004.1 OL697676.1 OL697614.1 OL505387.1 OL505375.1 OL505333.1 MN628098.1 
M8a2b,23,AP008435.1 KJ446499.1 AY519497.2 AP013244.1 AP013155.1 AP011056.1 KF849914.1 MG660742.1 AP008373.1 AP008736.1 AP008735.1 OP620864.1 OL879910.1 OL879902.1 KF451739.1 FJ198228.1 MT454453.1 MN628093.1 MN628027.1 MK069575.1 MK069573.1 MK069568.1 EU219349.1 
M8a2c,2,KF849960.1 AP008727.1 
M8a2d,2,KC251743.1 AY255161.1 
M8a2e,2,KC252568.1 KF540552.1 
M8a3,18,MH553806.1 MH553663.1 KJ198896.1 MG660750.1 MG660749.1 MG660747.1 MG660745.1 HM460791.1 MG660650.1 MG660646.1 MG660627.1 OP620891.1 OP620794.1 ON127833.1 OL880014.1 OL697636.1 OL697626.1 MF522923.1 
M8a3a,10,KC252522.1 KF849962.1 KF849919.1 MG778679.1 OL879988.1 OL697521.1 MT454418.1 MT454413.1 FJ198226.1 MF158629.1 
M8a3a1,6,MH553725.1 KF849976.1 KF849902.1 JF824923.2 JF824830.2 MZ387390.1 
CZ,0,
C,6,KX146835.1 OL879904.1 OL879900.1 OL741948.1 OL697639.1 OL697450.1 
C1,3,KT449867.1 OL638776.1 MH981837.1 
C1a,8,EU007858.1 EF153779.1 KJ446481.1 AY519496.2 OL619830.1 KF451671.1 MW698518.2 KX675283.1 
C1b,277,KU867625.1 KU523339.1 KU523337.1 KU523333.1 KU523332.1 KU523330.1 KU523328.1 KU523325.1 KU523324.1 KU523323.1 KU523321.1 KU523319.1 KU523318.1 KU523317.1 KU523316.1 KU523315.1 KU523314.1 KU523313.1 KU523312.1 KT891989.1 KT449866.1 KP851974.1 KP172431.1 KP172425.1 KP172383.1 KP172379.1 KP172378.1 KP172357.1 KP172356.1 KP172355.1 KP172353.1 KP172352.1 KP172350.1 KP172349.1 KP172345.1 KP172344.1 KP172343.1 KP172342.1 KP172341.1 KM656464.1 KM656461.1 KM656460.1 KM102128.1 KM102119.1 KM102037.1 KJ923844.1 KJ923823.1 KJ923818.1 KC150027.1 JX669416.1 JX669398.1 JX669382.1 JX669380.1 JX669377.1 JX669367.1 JX669365.1 JX669356.1 JX669341.1 JX669333.1 JX669329.1 JX669313.1 JX669309.1 JX669306.1 JX669294.1 JX669288.1 JX669280.1 JX669278.1 JX669275.1 JX669268.1 JX669264.1 JX669254.1 JX669250.1 JX669247.1 JX669246.1 JX669214.1 JX669212.1 JX669203.1 JX669195.1 JX669192.1 JX669191.1 JX669189.1 JX669188.1 JX669186.1 MH294956.1 JQ702185.1 HQ012211.1 HQ012209.1 HQ012200.1 OP605618.1 OP605616.1 OL638902.1 OL638879.1 OL638873.1 OL638853.1 OL638772.1 OL638688.1 OL638684.1 OL638681.1 OL638668.1 OL638663.1 OL638605.1 OL638591.1 OL638554.1 OL638551.1 OL638544.1 MG571216.1 MG571163.1 MG571162.1 MG571159.1 MG571157.1 MG571156.1 MG571146.1 MG571142.1 MG571129.1 MZ397855.2 MZ397854.2 MZ397853.2 MZ397852.2 MZ397851.2 MZ387944.1 MZ387813.1 MZ387780.1 MZ387279.1 MW886206.1 MW886202.2 MW886197.2 MW886166.2 MW886164.2 MW886163.2 MW886162.2 MW886158.2 MW886157.1 MW886149.2 MW886143.2 MW886142.2 MW886138.2 MW886130.2 MW886128.2 MW886120.1 MW886115.2 MW886113.2 MW886111.1 MW886110.1 MW886107.2 MW886105.2 MW291675.1 MW291673.1 MW291671.1 MW291664.1 MW291663.1 MW057668.1 MW057667.1 MW057666.1 MW057665.1 MW057664.1 MT742594.1 MT742593.1 MT742586.1 MT742580.1 MF588858.1 MF588838.1 MN894802.1 MN894795.1 MN894769.1 MN894763.1 MN894737.1 MN894734.1 MN894713.1 MN857407.1 MN857402.1 MN857398.1 MN857394.1 MN857379.1 MN857374.1 MN857362.1 MN857359.1 MN857349.1 MN857346.1 MN857342.1 MN857328.1 MN857312.1 MN857303.1 MN857293.1 MN857283.1 MN857272.1 MN857263.1 MN857262.2 MN857257.1 KY680991.1 KY680990.1 KY680989.1 KY680988.1 KY680986.1 KY680976.1 KY680975.1 KY680974.1 KY680972.1 KY680971.1 KY680970.1 KY680969.1 KY680968.1 KY680967.1 KY680966.1 KY680965.1 KY680964.1 KY680963.1 KY680962.1 KY680961.1 KY680960.1 KY680959.1 KY680958.1 KY680957.1 KY680956.1 KY680955.1 KY680954.1 KY680953.1 KY680952.1 KY680951.1 KY680950.1 KY680949.1 MH981924.1 MH981918.1 MH981908.1 MH981893.1 MH981889.1 KY645939.1 KY645937.1 KY645935.1 KY645902.1 KY645901.1 KY645899.1 KY645898.1 KY645897.1 KY645896.1 KY645887.1 KY645885.1 KY645884.1 KY645873.1 KY645866.1 KY645865.1 KY645864.1 KY645863.1 KY645857.1 KY645849.1 KY645848.1 KY645847.1 KY645839.1 KY645836.1 KY645821.1 KY645819.1 KY645813.1 KY645791.1 KY645759.1 KY645711.1 KY645705.1 MH981869.1 MH981868.1 MH981830.1 KY645677.1 KY645612.1 KY645592.1 KY645582.1 KY645578.1 KY645571.1 KY645566.1 KY645564.1 KY645513.1 MH981823.1 EU095549.1 EU095228.1 EU095227.1 EU095226.1 EU095225.1 MF588813.1 MF588812.1 MF588810.1 MF588808.1 
C1b1,3,AY195759.2 HQ012194.1 MZ387688.1 
C1b2,47,KM102153.1 KM102069.1 JX669406.1 JX669162.1 JQ701820.1 AF382009.2 JN546585.1 GQ397486.1 OL638911.1 MG571211.1 MG571184.1 MG571173.1 MG571105.1 MZ387804.1 MZ387796.1 MZ387784.1 MZ387770.1 MZ387745.1 MZ387697.1 MN857390.1 MN857389.1 MN857388.1 MN857380.1 MN857369.1 MN857291.1 DQ282458.2 DQ282457.1 DQ282456.1 DQ282455.1 DQ282454.1 DQ282453.1 DQ282452.1 DQ282451.1 DQ282450.1 DQ282449.1 DQ282448.1 DQ282447.1 MH981925.1 MH981920.1 MH981863.1 MH981843.1 MH981839.1 KY645645.1 KY645644.1 KY645643.1 KY645641.1 KY645635.1 
C1b3,8,KP172376.1 KP172351.1 JX669316.1 MG571154.1 MW886212.2 MW886152.2 MW886125.2 DQ282464.1 
C1b4,8,KM102107.1 JQ705585.1 CM028481.1 MZ387723.1 MZ387345.1 DQ282476.1 DQ282475.1 EU431085.1 
C1b5,1,MZ386982.1 
C1b5a,5,JQ705943.1 HQ012213.1 MZ387739.1 DQ282469.1 DQ282461.1 
C1b5b,2,JQ702595.1 HQ012205.1 
C1b6,3,EU095231.1 EU095230.1 EU095229.1 
C1b+16311,21,KT363958.1 JX669390.1 JX669386.1 JX669185.1 MW291669.1 MN857298.1 MN857249.1 KY680992.1 KY680987.1 KY680973.1 KY645859.1 KY645826.1 KY645822.1 KY645820.1 KY645816.1 KY645815.1 KY645800.1 KY645746.1 KY645741.1 KY645722.1 KY645516.1 
C1b7,1,HQ012207.1 
C1b7a,4,KM102042.1 HQ012215.1 MZ387742.1 MZ386889.1 
C1b10,1,HQ012198.1 
C1b8,0,
C1b8a,3,HQ012210.1 HQ012202.1 HQ012201.1 
C1b9,12,KM102121.1 KM102088.1 JQ702984.1 HQ012212.1 HQ012204.1 HQ012199.1 HQ012191.1 HQ012190.1 HQ012187.1 OL638722.1 MZ387680.1 MN894784.1 
C1b11,3,JQ701891.1 MZ387807.1 MZ386745.1 
C1b12,3,JQ705153.1 HQ012197.1 HQ012189.1 
C1b13,2,JX413056.1 JX413055.1 
C1b13a,2,JX413040.1 JX413039.1 
C1b13a1,4,KP172418.1 JX413038.1 JX413037.1 JX413036.1 
C1b13b,3,JX413043.1 JX413042.1 JX413041.1 
C1b13c,2,JX413045.1 JX413044.1 
C1b13c1,3,JX413048.1 JX413047.1 JX413046.1 
C1b13d,2,JX413050.1 JX413049.1 
C1b13e,4,JX413054.1 JX413053.1 JX413052.1 JX413051.1 
C1b14,4,KJ923846.1 HQ012208.1 MG652750.1 MZ386991.1 
C1c,114,KU523335.1 KU523334.1 KU523331.1 KU523329.1 KU523322.1 KP172354.1 KP172347.1 KP172346.1 KM656455.1 KM102092.1 KM102052.1 KM101575.1 KJ923824.1 KJ446439.1 JX669332.1 JX669207.1 JX669157.1 HQ012226.1 OL638841.1 OL638769.1 MG571149.1 MG571138.1 MG571125.1 KF451384.1 MZ387912.1 MZ387835.1 MZ387788.1 MZ387737.1 MW886183.1 MW886155.2 MW886148.2 MW886133.1 MW886131.1 MW467815.1 MW291668.1 MW291667.1 MW291662.1 MF588867.1 MN894772.1 MN894752.1 MN857401.1 MN857397.1 MN857340.1 MN857338.1 MN857333.1 MN857329.1 MN857326.1 MN857317.1 MN857316.1 MN857301.1 MN857269.1 MN857259.1 MF959511.1 DQ282463.1 DQ282459.1 KY680978.1 KY680977.1 KY645934.1 KY645932.1 KY645929.1 KY645890.1 KY645886.1 KY645874.1 KY645858.1 KY645827.1 KY645809.1 KY645808.1 KY645807.1 KY645805.1 KY645798.1 KY645795.1 KY645790.1 KY645784.1 KY645775.1 KY645774.1 KY645773.1 KY645772.1 KY645769.1 KY645766.1 KY645764.1 KY645763.1 KY645737.1 KY645731.1 KY645730.1 KY645729.1 KY645710.1 KY645708.1 KY645706.1 KY645703.1 KY645702.1 KY645699.1 KY645697.1 KY645696.1 KY645695.1 KY645694.1 KY645692.1 KY645690.1 KY645689.1 KY645688.1 KY645687.1 KY645686.1 KY645663.1 KY645658.1 KY645649.1 KY645626.1 KY645621.1 KY645619.1 KY645618.1 KY645602.1 KY645601.1 KY645554.1 KY645543.1 KY645514.1 MF588816.1 
C1c1,4,HQ012229.1 OL638928.1 KY645903.1 KY645900.1 
C1c1a,6,KJ446480.1 KF451546.1 MZ387728.1 MZ386983.1 MZ386925.1 EU597533.1 
C1c1b,6,KU378661.1 JQ705676.1 JQ704902.1 JQ703774.1 MZ387708.1 MZ386956.1 
C1c2,16,KM213521.1 HQ012233.1 HQ012232.1 HQ012231.1 HQ012222.1 HQ012221.1 HQ012219.1 HQ012218.1 MZ387698.1 MZ387695.1 DQ282471.1 DQ282470.1 DQ282468.1 DQ282467.1 DQ282466.1 DQ282462.1 
C1c3,6,KJ923848.1 KJ923847.1 KJ923830.1 JQ705761.1 EU095544.1 EU095527.1 
C1c4,5,KM101746.1 EF079875.1 MZ387777.1 MN894779.1 MN848581.1 
C1c5,9,KJ446446.1 KJ446445.1 KJ446444.1 HQ012230.1 KF451566.1 KF451564.1 KF451563.1 DQ282465.1 KY367259.1 
C1c+195,4,KP172360.1 JX669362.1 JX669311.1 MF152735.1 
C1c6,5,KM102004.1 JQ705574.1 JQ704040.1 HQ012227.1 MZ386922.1 
C1c7,2,JQ703827.1 MZ386890.1 
C1c8,2,EU431087.1 EU327891.1 
C1d,10,JQ705835.1 HQ012241.1 HQ012240.1 HQ012239.1 HQ012234.1 HM107306.1 MZ387758.1 MZ386927.1 MW467811.1 MW467808.1 
C1d+194,7,HM107317.1 HM107316.1 HM107310.1 HM107309.1 HM107308.1 MG652751.1 OP605623.1 
C1d1,112,KU523340.1 KP900765.1 KP900764.1 KM656456.1 KJ446441.1 KJ446440.1 HM107367.1 HM107366.1 HM107365.1 HM107364.1 HM107361.1 HM107360.1 HM107359.1 HM107354.1 HM107353.1 HM107352.1 HM107349.1 HM107348.1 HM107345.1 HM107344.1 HM107343.1 HM107342.1 HM107341.1 HM107338.1 HM107322.1 OL638893.1 OL638760.1 OL638630.1 MG571185.1 MZ387873.1 MZ387809.1 MZ387398.1 KF451229.1 KF451226.1 MW886181.2 MW886174.2 MW886146.2 MW886132.2 MW467878.1 MW467854.1 MW467846.1 MW467842.1 MW467841.1 MW467839.1 MW467837.1 MW467834.1 MW467831.1 MW467822.1 MW467813.1 MW057659.1 MN894778.1 MN894770.1 KY680985.1 KY680984.1 KY680983.1 KY680982.1 KY680981.1 KY680979.1 MH981902.1 MH981898.1 KY645918.1 KY645914.1 KY645912.1 KY645876.1 KY645875.1 KY645724.1 KY645718.1 MH981850.1 MH981847.1 KY645680.1 KY645669.1 KY645668.1 KY645666.1 KY645665.1 KY645664.1 KY645661.1 KY645659.1 KY645657.1 KY645655.1 KY645650.1 KY645640.1 KY645622.1 KY645614.1 KY645610.1 KY645609.1 KY645607.1 KY645605.1 KY645597.1 KY645595.1 KY645593.1 KY645591.1 KY645585.1 KY645576.1 KY645570.1 KY645563.1 KY645559.1 KY645556.1 KY645550.1 KY645549.1 KY645545.1 KY645542.1 KY645540.1 KY645538.1 KY645535.1 KY645531.1 KY645530.1 KY645527.1 KY645525.1 KY645521.1 KY645520.1 KY645518.1 EU095222.1 
C1d1a,1,HM107321.1 
C1d1a1,4,KJ923814.1 HM107320.1 HM107319.1 HM107318.1 
C1d1b,5,KP172348.1 HM107323.1 MW886207.1 MW886199.1 MW886108.1 
C1d1b1,7,HM107331.1 HM107330.1 HM107329.1 HM107328.1 HM107327.1 HM107326.1 MH981904.1 
C1d1c,2,HM107334.1 MZ386945.1 
C1d1c1,4,HQ012237.1 HQ012235.1 HM107335.1 MZ386946.1 
C1d1d,18,KJ923826.1 HM107368.1 HM107356.1 HM107355.1 OL638906.1 OL638622.1 OL638585.1 MW057660.1 KY680980.1 MH981914.1 MH981890.1 KY645931.1 KY645930.1 KY645895.1 KY645840.1 KY645709.1 MH981829.1 EU095537.1 
C1d2,1,HM107315.1 
C1d2a,4,HM107314.1 HM107313.1 HM107312.1 HM107311.1 
C1d3,6,KP017258.1 KP017257.1 KP017256.1 KP017255.1 JQ701741.2 MW057663.1 
C1e,0,
C1f,4,HM804483.1 MW057662.1 MW057661.1 MF523032.1 
C4,1,FJ951604.1 
C4a'b'c,0,
C4a,0,
